stackroute_ibm-wave7-lifeline,,
tilt-dev_servantes,,
junjuew_OpenTPOD,,
vigneshwari-duraisamy_AKSCinemaApp,,
ivadim_fruitnanny,,
gravitee-io_gravitee-docker,,
ukwa_ukwa-services,,
icebob_catalyst,,
itering_subscan-essentials,,
marten-seemann_quic-network-simulator,,
mattkohl_docker-flask-celery-redis,,
cau-se_titan-ccp,,
blackducksoftware_hub,,
PecanProject_BETYdb-YABA,,
vulpemventures_nigiri,,
TibebeJS_masterlance,,
bcgov_aries-vcr-issuer-controller,,
nevali_acropolis,,
MieuxVoter_mvapi,,
snatch-dev_Convey,,
decentralized-identity_universal-registrar,,
charlessolar_eShopOnContainersDDD,,
bartverdonck_Sitecore-Forms-Extensions,,
gh-network_gateway,,
InsightDataScience_Sherlock,,
syxolk_euro2016,,
FIWARE_tutorials.Time-Series-Data,,
loomio_loomio-deploy,,
mjoniec_Utils,,
erdemdmr_microprofile-samples,,
neuland_micro-frontends,,
tgrall_redis-microservices-demo,,
dotnet-architecture_eShopOnDapr,AWS,C:\Users\camyi\dotnet-architecture_eShopOnDapr\src\Web\WebStatus\appsettings.json
bbc_cloud-sync,,
MrBW_chaos-monkey-spring-boot-demo,,
Wradgio_StretchShop,,
oiraqi_immunizer,,
Shyam-Chen_GraphQL-Stack,,
rithinch_Event-Driven-Microservices-Sample,,
danionescu0_docker-flask-mongodb-example,,
logcorner_LogCorner.EduSync.Speech.Command,TF,C:\Users\camyi\logcorner_LogCorner.EduSync.Speech.Command\iac\terraform\apim\providers.tf
Fatezhang_scaffold-cloud,,
gs1_GS1_DigitalLink_Resolver_CE,,
jaheikki_cucumber-selenide-allure,,
oktadeveloper_jhipster-microservices-example,,
radulecu_spring-microservices,,
Microservice-API-Patterns_LakesideMutual,,
zmhassan_streaming-online-analytics-demo,,
DSOI-ALL_devops-microcosm,AWS,C:\Users\camyi\DSOI-ALL_devops-microcosm\AWS\resources\LAYER2_ECS_Containers.yaml
kecorbin_pyosupgrade,,
alphagov_govuk-docker,,
asc-lab_micronaut-microservices-poc,,
Amsterdam_dcatd,,
aliyun_alibabacloud-microservice-demo,,
aspnetrun_run-aspnetcore-microservices,,
avi202020_bigdata,,
magenta-aps_os2datascanner,,
juicycleff_ultimate-backend,TF,C:\Users\camyi\juicycleff_ultimate-backend\iac\providers.tf
wazo-pbx_wazo-webhookd,,
EdwinVW_pitstop,,
geonetwork_geonetwork-microservices,,
kiotlog_kiotlog,,
pankod_moleculerjs-boilerplate,,
nquocnghia_microcalc,,
xeraa_microservice-monitoring,TF,C:\Users\camyi\xeraa_microservice-monitoring\lightsail\variables.tf
